Job Title,Company,City,State,Rating,Pay rate,Salary_Min,Salary_Max,Estimate
"Associate Data Solutions Analyst - Rochester, NY Only",CALERO,Rochester,NY,3.4,Yearly,58000,73000,Employer
Data Analyst,Heritage Christian Services,Rochester,NY,4.1,Hourly,21.14,24.64,Employer
Data Scientist [Post-Doc Research Fellow],Edison Welding Institute Inc,Buffalo,NY,3.8,Yearly,75000,90000,Employer
Program Manager / Analyst,Event Dynamic,Old Brookville,NY,,Yearly,100000,100000,Employer
Data Science Consultant,Kubrick,New York,NY,3.4,Yearly,123000,133000,Employer
Data Scientist – NLP,Solytics Partners LLC,,,3.9,Yearly,90000,120000,Employer
Junior HRIS Analyst,"QSAC, Inc.",New York,NY,3.2,Yearly,50000,55000,Employer
Senior Data Analyst/Manager,Maimonides Medical Center,Brooklyn,NY,3.4,Yearly,107000,117000,Employer
Data Scientist - Contractor,EY,,,3.8,Hourly,120.00,150.00,Employer
"Director of Data Science – NLP, LLM and GenAI",S&P Global,New York,NY,4.1,Yearly,180000,225000,Employer
Statistical Assistants,"BEATTY'S SERVICES,INC.",New York,NY,,Hourly,16.90,17.00,Employer
Compliance Manager,Partnership Employment,New York,NY,4.7,Yearly,120000,160000,Employer
Hybrid - Business Intelligence Analyst,The Hire Method LLC,,,,NA,,,NA
AI Data Specialist,Kensho,New York,NY,4.1,Yearly,90000,125000,Employer
Data Scientist - Marketing Data Science,Dow Jones,New York,NY,3.6,Yearly,40000,160000,Employer
Senior Data Analyst,Greater Than One,,,2.1,NA,,,NA
Data Science Analyst I - Pulmonary,Mount Sinai,New York,NY,3.5,Yearly,72000,109000,Employer
Manager Assistant-Data Science,Amex,New York,NY,4.2,Yearly,90000,165000,Employer
"Associate, Data Science",BlackRock,New York,NY,3.9,Yearly,172000,210000,Employer
Data Scientist II,Oscar Health,,,3.3,Yearly,131000,172000,Employer
Senior Data Scientist,Luminate,,,4.5,Yearly,117000,152000,Employer
"AVP, Technology Product Owner - Gen AI",Synchrony Financial,New York,NY,4.2,Yearly,90000,155000,Employer
AI/Machine Learning Engineer,"Quintrix Solutions, Inc",New York,NY,,Yearly,70000,70000,Employer
Data Engineer - Machine Learning,AK Group,New York,NY,,Yearly,183000,205000,Employer
Data Visualization Developer Assistant,"Research Foundation for Mental Hygiene, Inc.",Albany,NY,3.4,Yearly,56000,64000,Employer
Equity Research Associate- Semiconductors,Bank of America,New York,NY,3.9,Yearly,130000,160000,Employer
Data Science Manager,Captions,,,3.2,Yearly,180000,240000,Employer
"Software Development Engineer in Test, Measurement, Ad Tech, and Data Science",Amazon.com Services LLC - A57,New York,NY,3.7,Yearly,115000,115000,Employer
"NAM Investment Banking, Share Holder Advisory Group, Data Science, Summer Analyst- New York (North America- 2025)",Citi,New York,NY,3.8,Yearly,100000,135000,Employer
"VP, Engineering, Data & AI",Dow Jones,New York,NY,3.6,Yearly,140000,450000,Employer
"Associate Data Solutions Analyst - Rochester, NY Only",CALERO,Rochester,NY,3.4,Yearly,58000,73000,Employer
Data Analyst,Heritage Christian Services,Rochester,NY,4.1,Hourly,21.14,24.64,Employer
Data Scientist [Post-Doc Research Fellow],Edison Welding Institute Inc,Buffalo,NY,3.8,Yearly,75000,90000,Employer
Program Manager / Analyst,Event Dynamic,Old Brookville,NY,,Yearly,100000,100000,Employer
Data Science Consultant,Kubrick,New York,NY,3.4,Yearly,123000,133000,Employer
